U	default	cwm
3	16.13658053312555	16.19989977415827
4	15.294449821938297	15.216091036407821
5	14.691899321613633	14.742173739895524
6	14.221718644158528	14.226285925241733
7	13.835018306174195	13.784245911766128
8	13.50480670753868	13.436701780328091
9	13.214508410080592	13.128846535527746
10	12.953257054053767	12.781352286524783
11	12.713596550374472	12.55766698638211
12	12.490223578381098	12.28265172759012
13	12.279247787864115	12.100484602371838
14	12.077736412566134	11.83904582519115
15	11.88342580801638	11.744482897237782
16	11.694532855841992	11.286858798595032
17	11.509620789087505	11.126162818917171
18	11.32752468538213	11.087803442817336
19	11.147290409021743	11.046242698600906
20	10.968135727210669	10.679081865276117
