 U10T    FI0      SIGMAH          SIGMAXX     SIGMAYY    MSS_TOTAL    MSS_ALL     SIGMATTX        SIGMATT      KZXT      KZYT      KZXY   SWH     KM         FM  
  3.00   45.00        0.00268820    0.007892    0.007892    0.015785    0.015785   0.018983     0.037966    0.010422   0.010422    -0.002200   0.207392    0.760     0.435
  4.00   45.00        0.00857111    0.009606    0.009606    0.019212    0.019212   0.035090     0.070179    0.014913   0.014913    -0.002474   0.370321    0.427     0.326
  5.00   45.00        0.02102094    0.011071    0.011071    0.022142    0.022142   0.056146     0.112291    0.019526   0.019526    -0.002699   0.579944    0.274     0.261
  6.00   45.00        0.04371113    0.012381    0.012381    0.024763    0.024763   0.082186     0.164373    0.024241   0.024241    -0.002898   0.836288    0.190     0.217
  7.00   45.00        0.08112589    0.013586    0.013586    0.027173    0.027173   0.113226     0.226452    0.029039   0.029039    -0.003079   1.139304    0.140     0.186
  8.00   45.00        0.13858681    0.014716    0.014716    0.029433    0.029433   0.149295     0.298589    0.033908   0.033908    -0.003251   1.489090    0.107     0.163
  9.00   45.00        0.22221590    0.015793    0.015793    0.031586    0.031586   0.190399     0.380799    0.038840   0.038840    -0.003415   1.885591    0.084     0.145
  10.00   45.00        0.33895776    0.016832    0.016832    0.033664    0.033664   0.236553     0.473106    0.043827   0.043827    -0.003576   2.328803    0.068     0.130
  11.00   45.00        0.49659577    0.017846    0.017846    0.035691    0.035691   0.287773     0.575547    0.048865   0.048865    -0.003736   2.818782    0.057     0.119
  12.00   45.00        0.70369988    0.018845    0.018845    0.037689    0.037689   0.344061     0.688122    0.053948   0.053948    -0.003896   3.355473    0.047     0.109
  13.00   45.00        0.96969380    0.019837    0.019837    0.039674    0.039674   0.405431     0.810862    0.059075   0.059075    -0.004058   3.938921    0.040     0.100
  14.00   45.00        1.30477973    0.020830    0.020830    0.041660    0.041660   0.471882     0.943765    0.064240   0.064240    -0.004225   4.569078    0.035     0.093
  15.00   45.00        1.71999353    0.021831    0.021831    0.043661    0.043661   0.543432     1.086863    0.069445   0.069445    -0.004397   5.245941    0.030     0.087
  16.00   45.00        2.22766202    0.022845    0.022845    0.045690    0.045690   0.620144     1.240289    0.074689   0.074689    -0.004576   5.970142    0.027     0.081
  17.00   45.00        2.83881782    0.023877    0.023877    0.047754    0.047754   0.701757     1.403515    0.079952   0.079952    -0.004764   6.739517    0.024     0.077
  18.00   45.00        3.57076029    0.024935    0.024935    0.049871    0.049871   0.788907     1.577814    0.085280   0.085280    -0.004963   7.558582    0.021     0.072
  19.00   45.00        4.43169136    0.026020    0.026020    0.052041    0.052041   0.880618     1.761235    0.090600   0.090600    -0.005173   8.420633    0.019     0.069
  20.00   45.00        5.44288205    0.027141    0.027141    0.054282    0.054282   0.977769     1.955538    0.095974   0.095974    -0.005398   9.331994    0.017     0.065
