	direction	sigmaxx	sigmayy	sigmaxy
0	0	0.016666	0.010507	0.000000
1	5	0.016619	0.010554	0.000535
2	10	0.016480	0.010693	0.001053
3	15	0.016253	0.010919	0.001540
4	20	0.015945	0.011227	0.001979
5	25	0.015566	0.011607	0.002359
6	30	0.015126	0.012047	0.002667
7	35	0.014640	0.012533	0.002894
8	40	0.014121	0.013052	0.003033
9	45	0.013586	0.013586	0.003079
10	50	0.013052	0.014121	0.003033
11	55	0.012533	0.014640	0.002894
12	60	0.012047	0.015126	0.002667
13	65	0.011607	0.015566	0.002359
14	70	0.011227	0.015945	0.001979
15	75	0.010919	0.016253	0.001540
16	80	0.010693	0.016480	0.001053
17	85	0.010554	0.016619	0.000535
18	90	0.010507	0.016666	0.000000
19	95	0.010554	0.016619	-0.000535
20	100	0.010693	0.016480	-0.001053
21	105	0.010919	0.016253	-0.001540
22	110	0.011227	0.015945	-0.001979
23	115	0.011607	0.015566	-0.002359
24	120	0.012047	0.015126	-0.002667
25	125	0.012533	0.014640	-0.002894
26	130	0.013052	0.014121	-0.003033
27	135	0.013586	0.013586	-0.003079
28	140	0.014121	0.013052	-0.003033
29	145	0.014640	0.012533	-0.002894
30	150	0.015126	0.012047	-0.002667
31	155	0.015566	0.011607	-0.002359
32	160	0.015945	0.011227	-0.001979
33	165	0.016255	0.010919	-0.001540
34	170	0.016480	0.010693	-0.001053
35	175	0.016619	0.010554	-0.000535
