,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,11.54219233790757,11.727565072990746,11.68619355070869
1,69491.10653944954,11.690407191586425,11.798822172722723,11.740297031270373
2,84184.98408807338,11.711676601766982,11.852815020572338,11.795982319858034
3,98878.86163669724,11.795974625319715,11.745628312026328,11.849196303612569
4,113572.73918532107,11.921282861536824,11.943618938389227,11.899121726047085
5,128266.61673394496,11.902874529899625,11.910132341498837,11.945635553240798
6,142960.49428256878,12.044924657637655,11.974987461420532,11.989207458818639
7,157654.37184587153,12.038239387860852,11.994012802856503,12.030099480199867
8,172348.2493944954,12.090535162514527,11.994607720949768,12.068278195816227
9,187042.12694311928,12.126419892585664,12.15014486865807,12.104157472017738
10,201736.00449174314,12.130632236474678,12.183752703748095,12.138168728755293
11,216429.88204036694,12.185759735343753,12.101845772679379,12.169973587934038
12,231123.7595889908,12.238728333105728,12.167071930193565,12.200206496750807
13,245817.63715229355,12.205135468420414,12.264665326781344,12.228853092293061
14,260511.5147009174,12.34648917131511,12.164834202027068,12.256003095076473
15,275205.39224954124,12.38423723113645,12.31158664682171,12.281639728933273
16,289899.2697981651,12.405580623135567,12.291564708762897,12.305953695307782
17,296073.3944954128,12.267582971820756,12.319101241209838,12.3157186389152
18,296073.3944954128,12.318484151098207,12.276998294311799,12.3157186389152
19,306073.3944954128,12.254033463463658,12.302798783512515,12.3157186389152
20,316073.3944954128,12.27455603909184,12.248377255860596,12.3157186389152
21,326073.3944954128,12.294078020417391,12.30920322661272,12.3157186389152
22,336073.3944954128,12.410100233008851,12.396424740047426,12.3157186389152
23,346073.3944954128,12.354804035752425,12.270681400574258,12.3157186389152
24,356073.3944954128,12.292224137288624,12.32696208674218,12.3157186389152
25,366073.3944954128,12.360531425543895,12.419034888158247,12.3157186389152
26,376073.3944954128,12.40980754482883,12.275446208398861,12.3157186389152
27,386073.3944954128,12.264882560301434,12.34998222510185,12.3157186389152
28,396073.3944954128,12.361598536820752,12.379211482965118,12.3157186389152
29,406073.3944954128,12.316405697563276,12.30539754463064,12.3157186389152
30,416073.3944954128,12.368726807536653,12.351506480053997,12.3157186389152
31,426073.3944954128,12.243083779881799,12.363446057230984,12.3157186389152
32,436073.3944954128,12.30988637820442,12.296613083864557,12.3157186389152
33,446073.3944954128,12.327033932599708,12.307295274478937,12.3157186389152
34,456073.3944954128,12.31251156841587,12.290349438841881,12.3157186389152
35,466073.3944954128,12.269499941499651,12.365643434534828,12.3157186389152
36,476073.3944954128,12.317203159316856,12.282340269781745,12.3157186389152
37,486073.3944954128,12.387150980807657,12.350428972189789,12.3157186389152
