,direction,sigma0+,sigma0-,sigma0_theory
0,0,13.700264827191617,13.700264827191617,13.834949234463249
1,5,13.833359956637528,13.833359956637528,13.834936350233365
2,10,13.888182447567,13.888182447567,13.834922337635094
3,15,13.825336844477166,13.825336844477166,13.83513221366031
4,20,13.94163235993964,13.94163235993964,13.835092937869561
5,25,13.87758398220329,13.87758398220329,13.834948998851042
6,30,13.787649033910938,13.787649033910938,13.834944633829558
7,35,13.86809474304545,13.86809474304545,13.834971282918493
8,40,13.925149189401004,13.925149189401004,13.834967327076802
9,45,13.90924057953782,13.90924057953782,13.835079531928681
10,50,13.83287795199694,13.83287795199694,13.834967327076802
11,55,13.85365062311636,13.85365062311636,13.834971282918493
12,60,13.870056838435163,13.870056838435163,13.834944633829558
13,65,13.86535969699258,13.86535969699258,13.834948998851042
14,70,13.788160621117282,13.788160621117282,13.835092937869561
15,75,13.838534197239909,13.838534197239909,13.83513221366031
16,80,13.849460336454591,13.849460336454591,13.834922337635094
17,85,13.857955136158672,13.857955136158672,13.834936350233365
18,90,13.871215063047602,13.871215063047602,13.834949234463249
19,95,13.857734846514429,13.857734846514429,13.834936350233365
20,100,13.840231103349181,13.840231103349181,13.834922337635094
21,105,13.828995770393817,13.828995770393817,13.83513221366031
22,110,13.802284378582579,13.802284378582579,13.835092937869561
23,115,13.901271663485812,13.901271663485812,13.834948998851042
24,120,13.766686951342155,13.766686951342155,13.834944633829558
25,125,13.887281098451389,13.887281098451389,13.834971282918493
26,130,13.901842469070488,13.901842469070488,13.834967327076802
27,135,13.725889628871396,13.725889628871396,13.835079531928681
28,140,13.798052908351298,13.798052908351298,13.834967327076802
29,145,13.781133416122039,13.781133416122039,13.834971282918493
30,150,13.82888299407126,13.82888299407126,13.834944633829558
31,155,13.83191889881636,13.83191889881636,13.834948998851042
32,160,13.929728339492812,13.929728339492812,13.835092937869561
33,165,13.841814140770465,13.841814140770465,13.83486140248501
34,170,13.886994019018077,13.886994019018077,13.834922337635094
35,175,13.846095113010596,13.846095113010596,13.834936350233365
